The average c_Ia, ET, Fc, M_relative and TmpSoil values are estimated by DHM-WM global water balance routine as below:
date	c_Ia	ET(mm)	Fc(mm)	M_rel	TmpSoil(C)
20030101	0.059	1.35	0.33	0.80	11.24
20030102	0.065	1.16	0.02	0.81	11.87
20030103	0.000	1.38	0.00	0.80	12.51
20030104	0.000	1.22	0.00	0.80	12.64
20030105	0.000	1.22	0.00	0.79	12.91
20030106	0.000	1.28	0.00	0.79	13.24
20030107	0.000	1.22	0.00	0.78	13.21
20030108	0.000	1.07	0.00	0.78	13.12
20030109	0.000	1.40	0.00	0.77	13.33
20030110	0.000	1.57	0.00	0.77	13.81
20030111	0.000	1.48	0.00	0.77	13.82
20030112	0.000	0.97	0.00	0.76	13.61
20030113	0.000	0.49	0.00	0.76	13.35
20030114	0.000	0.91	0.00	0.76	13.19
20030115	0.000	1.30	0.00	0.76	13.27
20030116	0.081	1.16	0.05	0.76	13.12
20030117	0.000	1.45	0.00	0.75	13.14
20030118	0.000	0.99	0.00	0.75	12.81
20030119	0.000	0.93	0.00	0.75	12.50
20030120	0.000	1.04	0.00	0.75	12.50
20030121	0.000	1.47	0.00	0.75	12.99
20030122	0.083	1.43	0.11	0.74	13.74
20030123	0.000	1.50	0.00	0.75	13.72
20030124	0.000	0.73	0.00	0.74	12.92
20030125	0.000	0.74	0.00	0.74	12.40
20030126	0.000	0.87	0.00	0.74	12.09
20030127	0.000	1.21	0.00	0.74	12.22
20030128	0.000	1.06	0.00	0.74	12.15
20030129	0.000	1.14	0.00	0.73	12.64
20030130	0.085	1.89	0.06	0.73	13.33
20030131	0.000	1.38	0.00	0.73	13.60
20030201	0.000	1.36	0.00	0.73	13.79
20030202	0.000	1.66	0.00	0.73	13.99
20030203	0.000	1.89	0.00	0.72	14.21
20030204	0.086	1.40	0.06	0.72	14.77
20030205	0.000	1.64	0.00	0.72	14.60
20030206	0.086	1.40	4.57	0.72	14.55
20030207	0.078	1.56	0.00	0.75	14.48
20030208	0.000	1.58	0.00	0.74	14.38
20030209	0.080	1.53	0.00	0.74	14.25
20030210	0.080	1.58	0.40	0.74	14.13
20030211	0.000	1.76	0.00	0.75	14.09
20030212	0.000	1.55	0.00	0.74	13.99
20030213	0.000	2.02	0.00	0.74	14.08
20030214	0.000	1.79	0.00	0.73	14.21
20030215	0.000	1.80	0.00	0.73	14.37
20030216	0.081	2.16	7.25	0.73	14.70
20030217	0.073	2.58	0.00	0.76	14.90
20030218	0.000	0.91	0.00	0.75	14.49
20030219	0.000	1.34	0.00	0.75	14.21
20030220	0.000	1.82	0.00	0.75	14.43
20030221	0.000	1.71	0.00	0.74	14.62
20030222	0.079	1.68	6.22	0.74	14.76
20030223	0.073	2.00	0.00	0.77	14.81
20030224	0.000	2.34	0.00	0.76	14.90
20030225	0.000	2.34	0.00	0.76	14.98
20030226	0.078	2.52	1.19	0.75	15.15
20030227	0.075	2.34	4.69	0.76	15.28
20030228	0.000	1.32	0.00	0.78	15.05
20030301	0.075	1.64	7.28	0.77	14.91
20030302	0.070	1.87	0.34	0.80	14.86
20030303	0.073	1.75	0.40	0.80	14.77
20030304	0.073	1.92	0.66	0.80	14.74
20030305	0.073	1.57	0.06	0.80	14.75
20030306	0.075	1.63	0.33	0.79	15.43
20030307	0.075	2.65	5.27	0.79	15.77
20030308	0.072	2.25	0.01	0.80	15.78
20030309	0.075	2.26	0.49	0.79	15.80
20030310	0.000	2.31	0.00	0.79	15.90
20030311	0.000	2.85	0.00	0.79	15.98
20030312	0.000	2.54	0.00	0.78	16.04
20030313	0.079	3.31	0.35	0.77	16.16
20030314	0.078	3.33	0.02	0.77	16.29
20030315	0.079	2.45	2.92	0.77	16.22
20030316	0.075	2.33	0.02	0.78	16.27
20030317	0.077	2.66	7.37	0.78	16.40
20030318	0.071	2.11	0.04	0.80	16.22
20030319	0.074	2.97	0.45	0.79	16.22
20030320	0.074	2.79	8.24	0.79	16.63
20030321	0.000	3.14	0.00	0.81	16.96
20030322	0.000	2.82	0.00	0.80	16.97
20030323	0.000	3.16	0.00	0.79	16.93
20030324	0.000	3.15	0.00	0.78	16.96
20030325	0.000	3.23	0.00	0.77	16.96
20030326	0.000	3.29	0.00	0.77	16.91
20030327	0.000	2.94	0.00	0.76	17.07
20030328	0.000	2.99	0.00	0.75	17.11
20030329	0.000	3.42	0.00	0.75	17.13
20030330	0.085	3.33	0.43	0.74	16.93
20030331	0.000	2.12	0.00	0.75	16.31
20030401	0.000	2.10	0.00	0.74	15.82
20030402	0.000	2.89	0.00	0.74	15.83
20030403	0.000	3.21	0.00	0.73	15.92
20030404	0.000	3.26	0.00	0.73	16.17
20030405	0.087	3.70	0.04	0.72	16.36
20030406	0.000	3.53	0.00	0.72	16.68
20030407	0.088	3.71	4.30	0.71	17.12
20030408	0.081	3.37	8.59	0.73	17.40
20030409	0.070	2.24	2.10	0.78	17.14
20030410	0.071	2.58	0.39	0.79	16.78
20030411	0.000	2.54	0.00	0.79	16.45
20030412	0.000	3.23	0.00	0.78	16.35
20030413	0.000	3.23	0.00	0.77	16.28
20030414	0.000	3.93	0.00	0.77	16.39
20030415	0.000	4.02	0.00	0.76	16.73
20030416	0.000	4.00	0.00	0.75	17.03
20030417	0.083	3.85	0.02	0.74	17.35
20030418	0.000	3.35	0.00	0.74	17.55
20030419	0.000	3.61	0.00	0.73	17.73
20030420	0.000	3.57	0.00	0.72	17.80
20030421	0.000	3.51	0.00	0.72	17.80
20030422	0.000	3.45	0.00	0.71	17.88
20030423	0.000	3.82	0.00	0.70	17.76
20030424	0.000	3.51	0.00	0.70	17.63
20030425	0.090	3.82	7.10	0.69	17.44
20030426	0.078	3.13	0.00	0.73	17.41
20030427	0.000	3.35	0.00	0.73	17.52
20030428	0.000	3.46	0.00	0.72	17.64
20030429	0.000	3.60	0.00	0.71	17.79
20030430	0.083	4.25	0.58	0.70	17.96
20030501	0.081	3.97	0.00	0.71	18.17
20030502	0.083	4.46	2.45	0.70	18.37
20030503	0.079	4.49	0.00	0.72	18.51
20030504	0.000	3.93	0.00	0.71	18.56
20030505	0.000	3.64	0.00	0.70	18.80
20030506	0.000	3.60	0.00	0.70	19.02
20030507	0.000	3.81	0.00	0.69	19.29
20030508	0.000	3.91	0.00	0.68	19.50
20030509	0.000	3.77	0.00	0.68	19.61
20030510	0.000	4.35	0.00	0.67	19.71
20030511	0.095	4.65	0.15	0.66	19.79
20030512	0.000	4.95	0.00	0.66	19.85
20030513	0.000	4.13	0.00	0.65	19.43
20030514	0.000	3.81	0.00	0.64	19.17
20030515	0.000	3.57	0.00	0.64	19.06
20030516	0.000	3.04	0.00	0.63	19.16
20030517	0.000	3.82	0.00	0.63	19.31
20030518	0.099	4.60	1.76	0.62	19.43
20030519	0.094	4.70	0.00	0.64	19.58
20030520	0.000	3.86	0.00	0.63	19.41
20030521	0.000	3.48	0.00	0.63	19.21
20030522	0.104	4.49	7.06	0.62	19.26
20030523	0.000	2.16	0.00	0.68	18.97
20030524	0.000	3.37	0.00	0.67	18.93
20030525	0.000	3.36	0.00	0.67	18.89
20030526	0.093	3.39	0.00	0.66	18.87
20030527	0.000	4.49	0.00	0.65	19.04
20030528	0.000	4.94	0.00	0.64	19.03
20030529	0.000	4.02	0.00	0.64	18.95
20030530	0.000	4.62	0.00	0.63	18.94
20030531	0.000	4.80	0.00	0.62	19.04
20030601	0.101	4.81	0.00	0.61	19.12
20030602	0.000	5.00	0.00	0.60	19.29
20030603	0.111	5.58	0.03	0.59	19.44
20030604	0.000	2.51	0.00	0.59	19.38
20030605	0.000	4.51	0.00	0.59	19.53
20030606	0.112	5.82	0.40	0.58	19.51
20030607	0.109	5.78	3.07	0.59	19.59
20030608	0.101	5.01	0.00	0.62	19.64
20030609	0.000	4.48	0.00	0.62	19.79
20030610	0.000	4.43	0.00	0.61	19.98
20030611	0.105	5.23	0.00	0.60	20.25
20030612	0.105	6.08	0.29	0.59	20.38
20030613	0.103	6.34	0.10	0.61	20.41
20030614	0.109	5.66	0.00	0.61	20.45
20030615	0.000	5.50	0.00	0.60	20.48
20030616	0.112	6.67	1.63	0.59	20.53
20030617	0.106	6.24	0.07	0.61	20.57
20030618	0.106	4.55	0.00	0.61	20.54
20030619	0.107	4.61	0.11	0.60	20.32
20030620	0.106	6.16	2.60	0.61	20.27
20030621	0.000	5.17	0.00	0.63	20.20
20030622	0.000	5.10	0.00	0.62	20.15
20030623	0.000	5.09	0.00	0.61	20.11
20030624	0.000	5.11	0.00	0.60	20.13
20030625	0.000	5.29	0.00	0.59	20.15
20030626	0.000	4.83	0.00	0.58	20.23
20030627	0.112	5.11	0.00	0.57	20.34
20030628	0.113	4.96	0.00	0.57	20.46
20030629	0.115	5.42	0.20	0.56	20.45
20030630	0.113	5.19	0.19	0.56	20.48
20030701	0.111	5.49	0.00	0.57	20.52
20030702	0.112	4.04	1.71	0.57	20.39
20030703	0.104	3.53	0.00	0.60	20.34
20030704	0.106	4.31	0.00	0.59	20.39
20030705	0.107	4.59	0.02	0.58	20.47
20030706	0.108	4.84	0.10	0.58	20.53
20030707	0.107	5.18	0.23	0.58	20.60
20030708	0.000	4.69	0.00	0.58	20.67
20030709	0.000	4.86	0.00	0.57	20.81
20030710	0.000	4.87	0.00	0.56	20.97
20030711	0.111	5.70	0.16	0.56	21.09
20030712	0.109	5.13	0.07	0.56	21.10
20030713	0.109	4.84	0.00	0.56	21.12
20030714	0.000	4.93	0.00	0.55	21.08
20030715	0.112	1.87	0.01	0.54	21.41
20030716	0.112	4.07	0.00	0.54	21.29
20030717	0.113	5.72	0.30	0.54	21.32
20030718	0.000	4.50	0.00	0.55	21.22
20030719	0.112	4.66	0.00	0.54	21.15
20030720	0.000	4.57	0.00	0.53	21.11
20030721	0.000	4.71	0.00	0.52	21.09
20030722	0.116	6.24	1.50	0.51	21.12
20030723	0.107	6.07	1.20	0.55	21.01
20030724	0.103	4.77	0.00	0.57	20.92
20030725	0.000	4.34	0.00	0.56	20.81
20030726	0.000	4.38	0.00	0.55	20.71
20030727	0.108	4.57	0.00	0.54	20.66
20030728	0.109	4.80	0.00	0.54	20.65
20030729	0.000	4.90	0.00	0.53	20.67
20030730	0.111	6.62	2.86	0.52	20.71
20030731	0.103	5.46	0.02	0.56	20.59
20030801	0.105	6.12	3.34	0.56	20.53
20030802	0.099	5.05	0.00	0.59	20.49
20030803	0.102	6.13	0.68	0.58	20.47
20030804	0.100	5.86	0.29	0.59	20.47
20030805	0.100	4.86	0.00	0.60	20.51
20030806	0.102	4.87	0.00	0.59	20.22
20030807	0.103	5.93	0.27	0.58	20.05
20030808	0.000	3.07	0.00	0.60	20.00
20030809	0.103	3.14	0.00	0.59	19.95
20030810	0.104	3.10	0.00	0.58	19.91
20030811	0.105	3.18	0.00	0.58	19.88
20030812	0.106	5.04	0.17	0.57	19.95
20030813	0.104	4.43	0.00	0.58	20.00
20030814	0.105	4.98	0.00	0.57	20.14
20030815	0.106	4.71	0.00	0.57	20.28
20030816	0.108	4.82	0.00	0.56	20.41
20030817	0.108	4.64	0.00	0.55	20.51
20030818	0.109	4.56	0.00	0.55	20.62
20030819	0.110	5.17	0.50	0.54	20.66
20030820	0.000	4.40	0.00	0.56	20.75
20030821	0.108	4.35	0.00	0.54	20.83
20030822	0.110	4.79	0.00	0.54	20.67
20030823	0.000	4.55	0.00	0.53	20.67
20030824	0.000	4.48	0.00	0.52	20.69
20030825	0.113	4.60	0.00	0.52	20.84
20030826	0.000	3.82	0.00	0.51	20.94
20030827	0.115	5.58	0.59	0.50	21.08
20030828	0.110	4.60	0.00	0.52	21.12
20030829	0.112	4.74	0.00	0.51	21.16
20030830	0.000	4.38	0.00	0.51	21.20
20030831	0.000	4.31	0.00	0.50	21.23
20030901	0.115	5.28	0.15	0.49	21.27
20030902	0.000	4.28	0.00	0.50	21.30
20030903	0.114	5.54	1.30	0.49	21.31
20030904	0.109	4.41	0.00	0.52	21.31
20030905	0.111	6.04	0.13	0.51	21.12
20030906	0.108	4.29	0.00	0.52	20.86
20030907	0.000	4.16	0.00	0.51	20.65
20030908	0.000	3.58	0.00	0.50	20.40
20030909	0.000	3.52	0.00	0.49	20.20
20030910	0.000	3.41	0.00	0.49	20.07
20030911	0.000	3.62	0.00	0.48	19.84
20030912	0.000	3.51	0.00	0.47	19.81
20030913	0.000	3.45	0.00	0.47	19.80
20030914	0.000	3.40	0.00	0.46	19.80
20030915	0.000	3.24	0.00	0.46	19.95
20030916	0.000	3.45	0.00	0.45	19.87
20030917	0.000	3.57	0.00	0.44	19.78
20030918	0.000	3.55	0.00	0.44	19.68
20030919	0.000	3.49	0.00	0.43	19.61
20030920	0.000	3.40	0.00	0.43	19.74
20030921	0.116	3.45	0.00	0.42	19.86
20030922	0.117	4.89	0.28	0.42	20.15
20030923	0.113	4.01	0.01	0.44	20.14
20030924	0.000	3.65	0.00	0.44	20.08
20030925	0.000	3.58	0.00	0.43	20.04
20030926	0.116	3.58	0.00	0.42	20.01
20030927	0.000	3.41	0.00	0.42	19.82
20030928	0.000	3.29	0.00	0.41	19.68
20030929	0.000	3.12	0.00	0.40	19.39
20030930	0.000	3.08	0.00	0.40	19.05
20031001	0.000	2.45	0.00	0.39	18.60
20031002	0.000	2.28	0.00	0.39	18.18
20031003	0.000	2.12	0.00	0.38	17.79
20031004	0.000	2.09	0.00	0.38	17.50
20031005	0.000	2.11	0.00	0.38	17.56
20031006	0.000	2.10	0.00	0.37	17.92
20031007	0.099	3.33	1.63	0.37	18.38
20031008	0.000	1.51	0.00	0.41	18.49
20031009	0.000	1.76	0.00	0.41	18.52
20031010	0.000	1.60	0.00	0.40	18.56
20031011	0.087	1.74	0.00	0.40	18.72
20031012	0.087	1.58	0.00	0.40	18.84
20031013	0.000	1.44	0.00	0.40	18.95
20031014	0.088	1.43	0.00	0.39	19.15
20031015	0.000	1.91	0.00	0.39	18.83
20031016	0.000	1.61	0.00	0.39	18.19
20031017	0.000	1.69	0.00	0.39	17.79
20031018	0.000	1.78	0.00	0.38	17.83
20031019	0.000	1.70	0.00	0.38	17.75
20031020	0.000	1.63	0.00	0.38	17.56
20031021	0.000	1.65	0.00	0.37	17.53
20031022	0.000	1.75	0.00	0.37	17.71
20031023	0.000	1.80	0.00	0.37	17.68
20031024	0.000	1.65	0.00	0.36	17.90
20031025	0.000	1.63	0.00	0.36	18.07
20031026	0.091	2.83	0.16	0.36	18.22
20031027	0.089	1.91	0.00	0.37	18.56
20031028	0.089	1.70	2.02	0.37	18.15
20031029	0.083	0.80	0.00	0.42	17.31
20031030	0.000	1.47	0.00	0.42	17.10
20031031	0.000	1.53	0.00	0.42	17.10
20031101	0.000	1.62	0.00	0.41	17.15
20031102	0.000	1.60	0.00	0.41	17.20
20031103	0.000	1.68	0.00	0.40	17.29
20031104	0.085	2.08	0.10	0.40	17.54
20031105	0.084	1.39	0.00	0.41	18.05
20031106	0.000	1.36	0.00	0.40	18.52
20031107	0.000	1.37	0.00	0.40	18.86
20031108	0.000	1.26	0.00	0.40	18.54
20031109	0.000	1.24	0.00	0.40	18.28
20031110	0.000	1.10	0.00	0.39	17.46
20031111	0.000	1.30	0.00	0.39	17.20
20031112	0.000	1.49	0.00	0.39	17.38
20031113	0.000	1.38	0.00	0.39	17.50
20031114	0.000	1.55	0.00	0.38	17.01
20031115	0.000	0.98	0.00	0.38	16.15
20031116	0.000	1.18	0.00	0.38	15.73
20031117	0.000	1.38	0.00	0.38	15.68
20031118	0.088	1.35	0.00	0.38	16.23
20031119	0.088	2.06	0.38	0.37	16.70
20031120	0.000	1.03	0.00	0.40	16.32
20031121	0.000	1.21	0.00	0.40	16.02
20031122	0.000	1.25	0.00	0.40	15.84
20031123	0.000	1.24	0.00	0.39	15.70
20031124	0.085	2.08	0.08	0.39	15.66
20031125	0.000	1.09	0.00	0.40	14.96
20031126	0.000	0.86	0.00	0.40	14.20
20031127	0.000	1.13	0.00	0.40	13.93
20031128	0.085	1.73	0.09	0.39	13.71
20031129	0.000	1.42	0.00	0.40	13.87
20031130	0.000	1.23	0.00	0.40	13.85
20031201	0.000	1.22	0.00	0.39	13.83
20031202	0.000	1.04	0.00	0.39	13.67
20031203	0.000	0.94	0.00	0.39	13.33
20031204	0.085	1.35	0.03	0.39	13.18
20031205	0.000	0.50	0.00	0.39	12.86
20031206	0.000	0.63	0.00	0.39	12.44
20031207	0.000	0.70	0.00	0.39	11.94
20031208	0.000	0.74	0.00	0.39	11.62
20031209	0.000	0.86	0.00	0.39	11.67
20031210	0.085	1.69	0.36	0.39	11.90
20031211	0.000	0.91	0.00	0.41	12.15
20031212	0.000	0.67	0.00	0.41	11.83
20031213	0.082	1.21	0.03	0.41	11.67
20031214	0.082	1.21	0.45	0.41	11.55
20031215	0.000	0.92	0.00	0.44	11.58
20031216	0.000	0.91	0.00	0.43	11.61
20031217	0.080	1.47	0.20	0.43	12.01
20031218	0.000	0.61	0.00	0.45	11.73
20031219	0.000	0.92	0.00	0.44	11.80
20031220	0.000	0.75	0.00	0.44	11.58
20031221	0.000	0.77	0.00	0.44	11.34
20031222	0.000	0.80	0.00	0.44	11.09
20031223	0.080	1.50	0.04	0.44	11.22
20031224	0.079	1.35	0.00	0.44	11.80
20031225	0.000	1.06	0.00	0.44	11.97
20031226	0.000	1.05	0.00	0.44	12.10
20031227	0.000	0.94	0.00	0.43	11.91
20031228	0.000	0.99	0.00	0.43	11.93
20031229	0.000	1.04	0.00	0.43	12.11
20031230	0.080	1.40	0.00	0.43	12.71
20031231	0.000	0.91	0.00	0.43	12.54
20040101	0.000	1.05	0.00	0.43	12.52
20040102	0.000	1.19	0.00	0.43	12.63
20040103	0.000	1.20	0.00	0.42	13.26
20040104	0.000	1.20	0.00	0.42	13.76
20040105	0.081	1.60	0.06	0.42	14.71
20040106	0.000	1.37	0.00	0.43	14.82
20040107	0.000	0.71	0.00	0.42	13.71
20040108	0.081	0.67	0.00	0.42	12.71
20040109	0.081	1.01	0.05	0.42	11.99
20040110	0.000	0.67	0.00	0.43	11.42
20040111	0.000	0.67	0.00	0.42	10.97
20040112	0.000	0.71	0.00	0.42	10.69
20040113	0.000	0.98	0.00	0.42	10.71
20040114	0.000	0.86	0.00	0.42	11.26
20040115	0.000	1.01	0.00	0.42	11.95
20040116	0.000	1.02	0.00	0.42	12.05
20040117	0.000	1.00	0.00	0.41	12.10
20040118	0.082	1.60	0.02	0.41	12.36
20040119	0.000	1.19	0.00	0.42	12.81
20040120	0.000	0.74	0.00	0.41	12.10
20040121	0.000	0.82	0.00	0.41	11.60
20040122	0.000	0.93	0.00	0.41	11.51
20040123	0.000	0.95	0.00	0.41	11.48
20040124	0.000	0.80	0.00	0.41	11.46
20040125	0.083	1.38	0.00	0.40	11.83
20040126	0.083	2.18	12.92	0.41	12.51
20040127	0.000	0.72	0.00	0.47	12.36
20040128	0.000	1.10	0.00	0.47	12.10
20040129	0.000	0.82	0.00	0.47	11.65
20040130	0.000	1.03	0.00	0.46	11.49
20040131	0.000	1.04	0.00	0.46	11.50
20040201	0.078	1.48	0.03	0.46	11.51
20040202	0.077	1.49	0.04	0.46	11.65
20040203	0.000	0.67	0.00	0.47	11.73
20040204	0.000	1.08	0.00	0.46	11.69
20040205	0.000	0.99	0.00	0.46	12.00
20040206	0.078	2.25	1.54	0.46	12.73
20040207	0.000	1.64	0.00	0.49	13.15
20040208	0.000	1.64	0.00	0.49	13.48
20040209	0.000	1.61	0.00	0.48	13.56
20040210	0.077	1.24	0.00	0.48	13.40
20040211	0.077	1.53	0.10	0.48	13.52
20040212	0.075	1.14	3.27	0.49	13.64
20040213	0.000	0.71	0.00	0.52	13.45
20040214	0.074	1.23	4.40	0.52	13.29
20040215	0.071	1.06	0.00	0.55	13.20
20040216	0.000	1.17	0.00	0.55	13.12
20040217	0.074	1.00	0.00	0.54	12.96
20040218	0.000	0.70	0.00	0.54	12.54
20040219	0.000	1.35	0.00	0.54	12.51
20040220	0.000	1.61	0.00	0.53	12.78
20040221	0.000	1.70	0.00	0.53	13.03
20040222	0.000	1.84	0.00	0.53	13.27
20040223	0.077	2.46	0.01	0.52	13.50
20040224	0.077	1.67	0.00	0.53	13.93
20040225	0.076	1.57	0.10	0.53	14.18
20040226	0.075	1.22	0.00	0.54	13.82
20040227	0.000	0.58	0.00	0.53	13.15
20040228	0.000	1.10	0.00	0.53	13.20
20040229	0.000	1.10	0.00	0.53	13.24
20040301	0.000	1.68	0.00	0.53	13.87
20040302	0.000	1.81	0.00	0.52	14.49
20040303	0.000	2.18	0.00	0.52	14.99
20040304	0.000	2.23	0.00	0.52	15.44
20040305	0.000	1.94	0.00	0.51	16.02
20040306	0.079	2.05	0.00	0.51	16.51
20040307	0.000	2.16	0.00	0.51	16.66
20040308	0.000	2.29	0.00	0.50	16.52
20040309	0.000	2.37	0.00	0.50	16.25
20040310	0.000	1.91	0.00	0.50	15.81
20040311	0.000	1.52	0.00	0.49	15.12
20040312	0.000	1.92	0.00	0.49	14.77
20040313	0.000	1.93	0.00	0.49	14.95
20040314	0.000	1.94	0.00	0.48	15.10
20040315	0.000	1.94	0.00	0.48	15.21
20040316	0.000	1.75	0.00	0.47	15.77
20040317	0.000	2.10	0.00	0.47	15.80
20040318	0.000	2.05	0.00	0.47	15.69
20040319	0.000	2.50	0.00	0.46	15.82
20040320	0.000	2.68	0.00	0.46	15.90
20040321	0.000	2.67	0.00	0.45	15.96
20040322	0.000	2.83	0.00	0.45	16.00
20040323	0.000	1.60	0.00	0.45	15.19
20040324	0.000	1.73	0.00	0.44	14.78
20040325	0.000	2.03	0.00	0.44	14.97
20040326	0.000	2.33	0.00	0.44	15.37
20040327	0.000	2.35	0.00	0.43	15.66
20040328	0.000	2.44	0.00	0.43	16.03
20040329	0.000	2.52	0.00	0.42	16.46
20040330	0.089	2.53	0.00	0.42	16.72
20040331	0.089	1.99	0.00	0.42	16.43
20040401	0.000	1.94	0.00	0.42	15.89
20040402	0.000	1.57	0.00	0.42	15.45
20040403	0.000	1.83	0.00	0.41	15.36
20040404	0.000	1.99	0.00	0.41	15.47
20040405	0.000	2.24	0.00	0.41	15.43
20040406	0.000	2.33	0.00	0.40	15.47
20040407	0.000	2.53	0.00	0.40	15.68
20040408	0.091	3.44	0.04	0.39	16.22
20040409	0.000	2.03	0.00	0.40	16.43
20040410	0.000	2.39	0.00	0.40	16.65
20040411	0.000	2.37	0.00	0.39	16.83
20040412	0.091	2.72	0.00	0.39	17.02
20040413	0.092	3.54	0.04	0.39	17.30
20040414	0.000	1.69	0.00	0.39	16.45
20040415	0.000	1.72	0.00	0.39	15.91
20040416	0.000	2.22	0.00	0.39	15.74
20040417	0.000	2.53	0.00	0.38	15.77
20040418	0.000	2.54	0.00	0.38	16.04
20040419	0.000	2.52	0.00	0.37	16.48
20040420	0.000	2.39	0.00	0.37	17.06
20040421	0.000	2.54	0.00	0.36	17.34
20040422	0.000	2.52	0.00	0.36	17.56
20040423	0.000	2.47	0.00	0.36	18.19
20040424	0.000	2.70	0.00	0.35	18.55
20040425	0.000	2.36	0.00	0.35	18.88
20040426	0.095	2.87	0.74	0.34	18.70
20040427	0.000	2.26	0.00	0.38	18.36
20040428	0.000	2.55	0.00	0.37	18.00
20040429	0.000	2.57	0.00	0.37	18.20
20040430	0.092	3.41	1.04	0.36	18.45
20040501	0.086	3.87	0.32	0.40	18.80
20040502	0.084	3.62	5.27	0.42	18.93
20040503	0.000	2.43	0.00	0.47	18.53
20040504	0.000	2.57	0.00	0.47	18.05
20040505	0.000	3.20	0.00	0.46	17.95
20040506	0.000	3.54	0.00	0.45	18.25
20040507	0.000	3.36	0.00	0.45	18.73
20040508	0.000	3.81	0.00	0.44	19.08
20040509	0.000	3.21	0.00	0.43	19.41
20040510	0.000	2.59	0.00	0.43	19.64
20040511	0.000	2.86	0.00	0.42	19.77
20040512	0.090	2.79	0.00	0.42	19.86
20040513	0.000	3.04	0.00	0.41	20.02
20040514	0.000	3.11	0.00	0.41	20.14
20040515	0.000	3.24	0.00	0.40	20.13
20040516	0.093	3.23	0.00	0.40	20.15
20040517	0.000	3.14	0.00	0.39	20.31
20040518	0.000	3.09	0.00	0.39	20.38
20040519	0.095	3.29	0.01	0.38	20.47
20040520	0.095	4.34	0.46	0.38	20.56
20040521	0.000	3.50	0.00	0.39	20.68
20040522	0.000	3.52	0.00	0.38	20.84
20040523	0.000	3.50	0.00	0.38	20.97
20040524	0.000	3.50	0.00	0.37	21.07
20040525	0.000	3.65	0.00	0.36	21.18
20040526	0.000	3.14	0.00	0.36	21.50
20040527	0.000	2.76	0.00	0.35	21.59
20040528	0.000	2.99	0.00	0.35	21.66
20040529	0.000	3.17	0.00	0.34	21.76
20040530	0.000	2.41	0.00	0.34	22.02
20040531	0.107	2.77	0.00	0.33	21.70
20040601	0.107	2.10	0.26	0.33	21.49
20040602	0.111	3.36	0.10	0.35	21.25
20040603	0.110	2.53	0.21	0.36	21.20
20040604	0.107	3.90	0.13	0.38	21.11
20040605	0.000	3.08	0.00	0.38	21.16
20040606	0.000	3.21	0.00	0.37	21.09
20040607	0.108	2.76	0.07	0.37	21.25
20040608	0.106	1.50	0.06	0.38	21.33
20040609	0.105	3.59	0.25	0.38	21.28
20040610	0.000	2.47	0.00	0.40	21.40
20040611	0.000	2.84	0.00	0.39	21.66
20040612	0.000	2.52	0.00	0.39	21.81
20040613	0.112	4.74	0.10	0.38	21.65
20040614	0.111	2.48	0.07	0.39	21.61
20040615	0.109	3.24	0.04	0.40	21.76
20040616	0.109	2.74	0.00	0.40	21.90
20040617	0.110	3.71	0.06	0.40	21.98
20040618	0.000	3.67	0.00	0.39	22.13
20040619	0.000	3.23	0.00	0.39	22.25
20040620	0.112	5.17	0.09	0.38	22.35
20040621	0.111	1.84	0.90	0.39	22.15
20040622	0.103	5.18	0.72	0.43	21.99
20040623	0.101	2.81	0.05	0.44	21.90
20040624	0.101	3.95	0.00	0.45	21.74
20040625	0.103	4.37	2.79	0.44	21.48
20040626	0.097	2.56	0.22	0.49	21.33
20040627	0.097	4.66	0.01	0.49	21.16
20040628	0.099	4.03	0.00	0.49	21.08
20040629	0.000	4.32	0.00	0.48	21.04
20040630	0.102	4.22	0.00	0.47	21.04
20040701	0.102	3.98	0.24	0.47	21.10
20040702	0.100	3.70	0.38	0.48	21.07
20040703	0.000	3.60	0.00	0.50	21.12
20040704	0.000	4.30	0.00	0.49	21.29
20040705	0.000	4.15	0.00	0.48	21.49
20040706	0.000	3.78	0.00	0.47	21.49
20040707	0.105	3.10	0.01	0.46	21.34
20040708	0.104	4.09	0.00	0.46	21.31
20040709	0.000	4.24	0.00	0.46	21.45
20040710	0.000	4.02	0.00	0.45	21.61
20040711	0.000	4.16	0.00	0.45	21.72
20040712	0.000	4.18	0.00	0.44	21.90
20040713	0.000	3.42	0.00	0.43	21.95
20040714	0.000	3.83	0.00	0.43	21.91
20040715	0.112	2.60	0.00	0.42	21.76
20040716	0.112	3.72	0.01	0.42	21.61
20040717	0.112	2.70	0.00	0.41	21.50
20040718	0.112	3.52	0.57	0.41	21.43
20040719	0.000	3.83	0.00	0.44	21.31
20040720	0.000	4.49	0.00	0.43	21.29
20040721	0.000	3.77	0.00	0.42	21.43
20040722	0.111	3.63	0.00	0.42	21.78
20040723	0.112	3.58	0.00	0.41	22.00
20040724	0.113	3.53	0.00	0.40	22.03
20040725	0.113	3.10	0.00	0.40	22.04
20040726	0.114	3.39	0.13	0.40	21.99
20040727	0.112	3.59	0.07	0.41	22.06
20040728	0.111	4.04	0.02	0.41	22.09
20040729	0.000	3.15	0.00	0.41	22.16
20040730	0.112	3.64	0.01	0.41	22.15
20040731	0.112	3.54	0.00	0.40	22.24
20040801	0.000	3.69	0.00	0.40	22.31
